EXPOCODE 316N138_9   WHP-ID P16A/P17A     CRUISE DATES 080791 TO 112492    20030310WHPOSIODM                                                                                                                                                                                                   *
  STNNBR  CASTNO  SAMPNO  BTLNBR  CTDPRS  CTDTMP  CTDSAL  CTDOXY   THETA  SALNTY  OXYGEN  SILCAT  NITRAT  NITRIT  PHSPHT  CFC-11  CFC-12  DELHE3  HELIUM  TRITER  DELHER  TRITUM  TCARBN    PCO2  HELIER    NEON  NEONER PCO2TMP  DELC14  C14ERR  DELC13              QUALT1              QUALT2
                                    DBAR  ITS-90  PSS-78 UMOL/KG   DEG C  PSS-78 UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG PMOL/KG PMOL/KG  PERCNT NMOL/KG      TU  PERCNT      TU UMOL/KG    UATM NMOL/KG NMOL/KG NMOL/KG   DEG_C  /MILLE  /MILLE  /MILLE                                       *
                         *******                 ******* *******         ******* ******* ******* ******* ******* ******* ******* ******* ******* *******                 ******* ******* *******         *******                 *******         *******                                       *
       2       1      20      20  1003.3  4.8424 34.3188   211.3  4.7603 34.3177   209.0   25.48   29.24    0.01    2.03   0.152   0.092 -999.00 -9.0000  -9.000   -9.00  -9.000  2174.2   912.4 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222222299922999 2222222222299922999
       2       1      21      21  1242.4  3.6141 34.3929   182.5  3.5218 34.3908   183.5   49.00   32.97    0.01    2.30   0.022  -9.000 -999.00 -9.0000  -9.000   -9.00  -9.000  2211.9  1073.4 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222222599922999 2222222222599922999
       2       1      22      22  1453.3  2.9046 34.4972   168.0  2.8019 34.4961   168.8   71.06   34.13    0.01    2.39   0.002  -9.000 -999.00 -9.0000  -9.000   -9.00  -9.000  2245.5  1145.7 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222222599922999 2222222222599922999
       2       1      23      23  1702.5  2.5229 34.5783   158.3  2.4040 34.5763   159.2   91.13   34.63    0.01    2.44   0.000  -0.003 -999.00 -9.0000  -9.000   -9.00  -9.000  2273.5  1169.9 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222222299922999 2222222222299922999
       2       1      24      24  1955.4  2.2281 34.6228   153.3  2.0920 34.6236   153.5  107.29   34.91    0.01    2.48  -9.000  -9.000 -999.00 -9.0000  -9.000   -9.00  -9.000  2286.7  1188.4 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222225599922999 2222222225599922999
       2       1      25      25  2204.1  2.0212 34.6459   150.9  1.8670 34.6462   150.5  117.11   35.25    0.00    2.50   0.000   0.000 -999.00 -9.0000  -9.000   -9.00  -9.000  2301.2  1197.9 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222222399922999 2222222222399922999
       2       1      26      26  2451.8  1.9093 34.6571   151.4  1.7350 34.6572   151.0  120.46   35.36    0.00    2.51  -9.000  -9.000 -999.00 -9.0000  -9.000   -9.00  -9.000  2304.4  1196.1 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222225599922999 2222222225599922999
       2       1      27      27  2771.6  1.7874 34.6682   153.7  1.5861 34.6674   153.3  122.04   35.15    0.00    2.49   0.002   0.000 -999.00 -9.0000  -9.000   -9.00  -9.000  2306.3  1184.6 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222223299922999 2222222223299922999
       2       1      28      28  2951.0  1.7284 34.6737   156.9  1.5113 34.6729   156.7  122.83   34.98    0.00    2.47  -9.000  -9.000 -999.00 -9.0000  -9.000   -9.00  -9.000  2304.9  1171.2 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222225599922999 2222222225599922999
       2       1      29      29  3201.1  1.6365 34.6810   162.3  1.3971 34.6814   163.4  122.63   34.54    0.01    2.44  -9.000  -9.000 -999.00 -9.0000  -9.000   -9.00  -9.000  2302.2  1149.8 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222225599922999 2222222225599922999
