EXPOCODE 316N138_9  WHP-ID P16A/P17A  DATES 100692-112592              20020417WHPOSIOSA                *
  STNNBR  CASTNO  BTLNBR  REVPRS  REVTMP  SALNTY  NITRAT  NITRIT  SILCAT  PHSPHT  DELC14  C14ERR   QUALT1
			    DBAR  ITS-90  PSS-78 UMOL/KG UMOL/KG UMOL/KG UMOL/KG  /MILLE  /MILLE        *                     
                 *******                 ******* ******* ******* ******* ******* *******                *
      80       3      42  1754.3  2.4200 34.6050   -9.00   -9.00   81.00   -9.00  -999.0    -9.0  2255259
      80       3      82  1754.8  2.4200 34.6060   -9.00   -9.00   80.90   -9.00  -148.1     4.0  2255252
      80       3      43  1905.4  2.3400 34.6390   -9.00   -9.00   84.60   -9.00  -999.0    -9.0  2255259
      80       3      83  1905.9  2.3400 34.6390   -9.00   -9.00   84.40   -9.00  -156.2     4.0  2255252
      80       3      44  2056.6  2.2600 34.6690   -9.00   -9.00   86.30   -9.00  -999.0    -9.0  2255259
      80       3      84  2057.1  2.2600 34.6700   -9.00   -9.00   86.50   -9.00  -159.3     4.0  2255252
      80       3      45  2207.9  2.1400 34.6880   -9.00   -9.00   92.40   -9.00  -999.0    -9.0  2255259
      80       3      85  2208.4  2.1400 34.6880   -9.00   -9.00   92.40   -9.00  -165.8     4.0  2255252
      80       3      46  2359.4  2.0700 34.7050   -9.00   -9.00   93.00   -9.00  -999.0    -9.0  2255259
      80       3      87  2359.9  2.0700 34.7050   -9.00   -9.00   93.00   -9.00  -164.9     4.0  2255252
      80       3      47  2510.9  1.9800 34.7190   -9.00   -9.00   93.60   -9.00  -999.0    -9.0  2255259
      80       3      89  2511.4  1.9800 34.7190   -9.00   -9.00   93.40   -9.00  -158.6     4.0  2255253
      80       3      48  2662.6  1.8700 34.7270   -9.00   -9.00   97.30   -9.00  -999.0    -9.0  2255259
      80       3      90  2663.1  1.8700 34.7250   -9.00   -9.00   97.50   -9.00  -170.9     4.0  2255253
      80       3      49  2814.4  1.7500 34.7270   -9.00   -9.00  100.00   -9.00  -999.0    -9.0  2255259
      80       3      93  2814.9  1.7500 34.7280   -9.00   -9.00  100.00   -9.00  -162.5     4.0  2255252
      80       1      41  2935.9  1.6700 34.7260   -9.00   -9.00  103.30   -9.00  -999.0    -9.0  2255259
      80       1      81  2936.4  1.6700 34.7260   -9.00   -9.00  103.30   -9.00  -161.4     4.0  2255252
      80       1      42  3135.6  1.4900 34.7240   -9.00   -9.00  107.60   -9.00  -999.0    -9.0  2255259
      80       1      82  3136.1  1.4900 34.7240   -9.00   -9.00  107.40   -9.00  -165.9     4.0  2255252
      80       1      43  3336.5  1.4300 34.7220   -9.00   -9.00  110.20   -9.00  -999.0    -9.0  2255259
      80       1      83  3337.0  1.4300 34.7220   -9.00   -9.00  110.20   -9.00  -166.2     4.0  2255252
      80       1      44  3537.7  1.3400 34.7190   -9.00   -9.00  113.30   -9.00  -999.0    -9.0  2255259
      80       1      84  3538.2  1.3400 34.7190   -9.00   -9.00  113.30   -9.00  -174.6     4.0  2255252
      80       1      45  3738.2  1.3000 34.7170   -9.00   -9.00  115.10   -9.00  -999.0    -9.0  2255259
      80       1      85  3738.7  1.3000 34.7180   -9.00   -9.00  115.10   -9.00  -172.0     4.0  2255252
      80       1      47  3939.1  1.2900 34.7180   -9.00   -9.00  115.50   -9.00  -999.0    -9.0  2255259
      80       1      87  3939.6  1.2900 34.7170   -9.00   -9.00  115.60   -9.00  -172.1     4.0  2255252
      80       1      46  4140.4  1.2900 34.7160   -9.00   -9.00  116.90   -9.00  -999.0    -9.0  2255259
      80       1      89  4140.9  1.2900 34.7160   -9.00   -9.00  116.80   -9.00  -172.2     4.0  2255252
      80       1      48  4342.2  1.3000 34.7150   -9.00   -9.00  117.00   -9.00  -999.0    -9.0  2255259
      80       1      90  4342.7  1.3000 34.7160   -9.00   -9.00  117.20   -9.00  -170.5     4.0  2255252
      80       1      49  4544.6  1.3200 34.7150   -9.00   -9.00  117.40   -9.00  -999.0    -9.0  2255259
      80       1      93  4545.1  1.3200 34.7160   -9.00   -9.00  117.20   -9.00  -167.0     4.0  2255252
      87       3      41  1437.1  3.3000 34.4000   -9.00   -9.00   53.80   -9.00  -999.0    -9.0  2255259
      87       3      81  1437.6  3.3000 34.4000   -9.00   -9.00   53.60   -9.00  -118.4     4.0  2255252
      87       3      42  1610.0  2.9200 34.4680   -9.00   -9.00   65.30   -9.00  -999.0    -9.0  2255259
      87       3      82  1610.5  2.9200 34.4670   -9.00   -9.00   65.30   -9.00  -139.0     4.0  2255252
      87       3      43  1790.1  2.6900 34.5340   -9.00   -9.00   75.80   -9.00  -999.0    -9.0  2255259
      87       3      83  1790.6  2.6900 34.5340   -9.00   -9.00   75.80   -9.00  -152.4     4.0  2255252
      87       4      45  1883.6  2.5800 34.5380   -9.00   -9.00   76.40   -9.00  -999.0    -9.0  4455359
      87       4      85  1884.1  2.5800 34.5760   -9.00   -9.00   82.90   -9.00  -161.6     4.0  4455252
      87       4      44  1971.6  2.5400 34.5890   -9.00   -9.00   86.50   -9.00  -999.0    -9.0  2255259
      87       4      84  1972.1  2.5400 34.5890   -9.00   -9.00   86.50   -9.00  -162.3     4.0  2255252
