EXPOCODE 320620140320 WHP-ID P16S CRUISE DATES 20140326 TO 20140504 20160323SIOCCHCBG                                                                                                                                                        *
  STNNBR  CASTNO  SAMPNO  BTLNBR  CTDPRS  CTDTMP  CTDSAL  CTDOXY  SALNTY  OXYGEN  SILCAT  NITRAT  NITRIT  PHSPHT  CFC-11  CFC-12     SF6     DOC  TRITUM  HELIUM  DELHE3  DELC14  DELC13  TCARBN  ALKALI  PH_TOT  PH_TMP                QUALT1
                                    DBAR  ITS-90  PSS-78 UMOL/KG  PSS-78 UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG PMOL/KG PMOL/KG FMOL/KG UMOL/KG      TU NMOL/KG  PERCNT  /MILLE  /MILLE UMOL/KG UMOL/KG           DEG C                     *
                         *******                 ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* *******                             *
       2       1      20      20   600.3  2.1766 34.6597   175.4 34.6600   175.8   79.84   33.05   -9.00    2.28  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2257.7  2338.1  7.6286   20.00 222222222999999999222
       2       1      19      19   700.2  2.1145 34.6899   178.3 34.6899   179.3   81.60   32.40   -9.00    2.24   0.340   0.183  0.0700   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2254.9  2340.8  7.6387   20.00 222222222222999999222
       2       1      18      18   800.3  2.0608 34.7074   181.6 34.7070   181.8   83.26   31.91   -9.00    2.21  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2254.2  2343.8  7.6481   20.00 222222222999999999222
       2       1      17      17   899.5  1.9797 34.7182   184.4 34.7178   184.2   85.31   31.66   -9.00    2.19   0.272   0.141  0.1400   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2253.7  2345.4  7.6542   20.00 222222222222999999222
       2       1      16      16  1000.7  1.9346 34.7292   188.0 34.7292   187.9   86.96   31.25   -9.00    2.16   0.196   0.100  0.1100   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2252.1  2348.2  7.6633   20.00 222222222222999999222
       2       1      15      15  1101.4  1.8558 34.7348   190.3 34.7353   190.3   88.82   31.09   -9.00    2.15   0.174   0.094  0.1300   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2252.6  2349.3  7.6686   20.00 222222222222999999222
       2       1      14      14  1200.8  1.7774 34.7372   192.2 34.7368   192.1   91.06   31.08   -9.00    2.14  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2252.4  2350.2  7.6728   20.00 222222222999999999262
       2       1      13      13  1301.3  1.6953 34.7384   193.9 34.7384   193.8   93.31   30.97   -9.00    2.14   0.174   0.090  0.0900   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2251.5  2349.0  7.6722   20.00 222222222222999999242
       2       1      12      12  1400.3  1.6107 34.7380   195.7 34.7382   196.2   94.77   30.93   -9.00    2.14  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2251.5  2351.5  7.6727   20.00 222222222999999999222
       2       1      11      11  1499.7  1.5273 34.7358   197.2 34.7364   196.8   97.51   31.02   -9.00    2.15   0.173   0.095  0.1100   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2253.3  2353.1  7.6752   20.00 222222222222999999222
       2       1      10      10  1600.9  1.4427 34.7340   198.5 34.7339   198.4  100.04   31.07   -9.00    2.16  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2253.8  2354.8  7.6752   20.00 222222222999999999222
       2       1       9      09  1699.8  1.3538 34.7308   199.5 34.7358   199.1  102.87   31.22   -9.00    2.16   0.178   0.089  0.0700   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2254.0  2356.7  7.6754   20.00 222322222222999999222
       2       1       8      08  1800.6  1.2821 34.7286   200.6 34.7325   200.6  105.02   31.31   -9.00    2.16  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2254.5  2357.5  7.6755   20.00 222322222999999999622
       2       1       7      07  2000.7  1.1238 34.7216   202.6 34.7217   202.3  110.00   31.60   -9.00    2.19  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2256.3  2358.7  7.6742   20.00 222222222999999999622
       2       1       6      06  2199.8  0.9783 34.7147   204.1 34.7146   204.2  114.88   31.87   -9.00    2.20   0.209   0.104  0.0700   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2258.1  2359.3  7.6717   20.00 222222222222999999266
       2       1       5      05  2399.8  0.8504 34.7095   205.9 34.7101   206.0  119.27   32.05   -9.00    2.21  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2259.0  2359.4  7.6701   20.00 222222222999999999222
       2       1       4      04  2599.4  0.7838 34.7060   207.0 34.7068   207.0  123.18   32.18   -9.00    2.22   0.268   0.139  0.0700   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2259.4  2360.1  7.6693   20.00 222222222222999999226
       2       1       3      03  2800.6  0.7580 34.7043    -9.0 34.7054    -9.0  119.86   32.05   -9.00    2.22  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 329292222999999999999
       2       1       2      02  2999.6  0.7538 34.7034   207.4 34.7046   207.5  127.57   32.59   -9.00    2.23   0.298   0.155  0.0900   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2261.9  2361.1  7.6689   20.00 222222222222999999622
       2       1       1      01  3207.2  0.7714 34.7037   207.3 34.7050   207.3  128.55   32.55   -9.00    2.24   0.292   0.155  0.0300   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2262.6  2361.7  7.6706   20.00 222222222222999999622
       3       1      33      33     6.3 -1.0151 33.8210   343.6 33.8237   345.4   61.51   26.41    0.14    1.86   6.056   3.138  3.0400   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2175.2  2289.6  7.7291   20.00 222222222222199999226
       3       1      32      32    39.4 -1.0122 33.8208   345.3 33.8231   345.4   61.51   26.44    0.14    1.88  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2176.3  2289.4  7.7283   20.00 222222222999199999222
       3       1      31      31    62.6 -1.0549 33.8625   344.1 33.8475   341.9   62.10   26.64    0.13    1.90   5.949   3.126  3.2100   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2177.8  2291.0  7.7254   20.00 222222222666199999622
       3       1      30      30    62.9 -1.0385 33.8508    -9.0 -9.0000    -9.0   -9.00   -9.00   -9.00   -9.00  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 229999999999999999999
       3       1      29      29    89.9 -1.4965 34.2537   285.2 33.8475   341.7   61.98   26.59    0.13    1.90  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2176.4  2289.6  7.7270   20.00 422444444999199999443
