EXPOCODE 31WTTUNES_2 WHP-ID P16S/P17S DATES 083191 TO 100191                20020416WHPOSIOSA
  STNNBR  CASTNO  BTLNBR  REVPRS  REVTMP  SALNTY  OXYGEN  SILCAT  NITRAT  NITRIT  PHSHHT  DELC14  C14ERR  DELC13    QUALT1
                            DBAR  ITS-90  PSS-78 UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG    0/00    0/00    0/00         * 
                 *******                 ******* ******* ******* ******* ******* ******* *******         *******         *
     172       1      89  3752.1   1.5    34.689    -9.0   125.6    34.      0.     2.31  -201.1     3.3    -0.1 229222222
     172       1      93  4018.1   1.49   34.692    -9.0   125.4    33.8     0.     2.32  -197.4     3.     -0.2 229222222
     172       1      48  4236.5   1.49   34.693    -9.0   125.2    33.6     0.     2.34  -999.0    -9.0    -9.0 229222299
     172       1      94  4237.    1.49   34.693    -9.0   124.8    33.5     0.     2.3   -189.6     3.4    -0.1 229222222
     179       4      49     3.   -9.000  35.175    -9.0    -9.0    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229599999
     179       4      90     3.5  -9.000  35.174    -9.0    -9.0    -9.0    -9.0   -9.00  -188.3     3.     -0.3 229599942
     179       3      47  1217.    3.43   34.404    -9.0    52.6    32.9     0.     2.3   -999.0    -9.0    -9.0 229222299
     179       3      81  1217.5   3.43   34.402    -9.0    53.     33.2     0.     2.31   126.6     3.9     0.4 229222242
     179       3      44  1463.5   2.79   34.912    -9.0    -9.0    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 249599999
     179       3      83  1464.    2.79   34.508    -9.0    75.     34.3     0.     2.38  -126.8     3.9    -0.7 229222242
     179       3      45  1700.7   2.43   34.586    -9.0    95.2    34.8     0.     2.43  -999.0    -9.0    -9.0 229222299
     179       3      84  1701.2   2.43   34.585    -9.0    94.9    34.8     0.     2.41  -161.3     3.1    -0.2 229222242
     179       1      43  3076.3   1.67   34.673    -9.0   125.3    34.4     0.     2.41  -999.0    -9.0    -9.0 229222299
     179       1      81  3076.8   1.67   34.673    -9.0   126.1    34.5     0.     2.42  -999.0    -9.0    -9.0 229222292
     179       1      41  3334.    1.61   34.679    -9.0   126.1    34.3     0.     2.41  -999.0    -9.0    -9.0 229222299
     179       1      83  3334.5   1.61   34.68     -9.0   126.5    34.3     0.     2.39  -208.1     3.     -0.5 229222222
     179       1      84  3591.2   1.55   34.687    -9.0   126.4    34.      0.     2.37  -199.7     3.     -0.9 229222222
     179       1      45  3845.7   1.45   34.695    -9.0   124.2    33.4     0.     2.34  -999.0    -9.0    -9.0 229222299
     179       1      87  3846.2   1.45   34.695    -9.0   124.2    33.4     0.     2.32  -193.2     3.3    -0.4 229222222
     179       1      44  4098.6   1.34   34.702    -9.0   122.5    32.9     0.     2.31  -999.0    -9.0    -9.0 229222299
     179       1      89  4099.1   1.34   34.685    -9.0   119.     32.9     0.     2.28  -179.2     3.      0.  239322222
     179       1      47  4299.    1.31   34.704    -9.0   122.2    32.8     0.     2.29  -999.0    -9.0    -9.0 229222299
     179       1      93  4299.5   1.31   34.704    -9.0   121.8    32.7     0.     2.22  -177.5     3.1    -0.2 229222222
     179       1      48  4497.3   1.31   34.705    -9.0   121.9    32.7     0.     2.29  -999.0    -9.0    -9.0 229222299
     179       1      94  4497.8   1.31   34.683    -9.0   116.3    32.9     0.     2.26  -182.4     3.     -0.3 239422222
     180       4      90     3.5  -9.000  34.743    -9.0    -9.0    -9.0    -9.0   -9.00   113.4     3.9     1.1 229599922
     180       3      42  1331.4   3.28   34.422    -9.0    57.     33.4     0.     2.33  -999.0    -9.0    -9.0 229222299
     180       3      81  1331.9   3.28   34.422    -9.0    57.     33.5     0.     2.33  -130.2     3.2     0.2 229222222
     180       3      43  1626.9   2.72   34.552    -9.0    85.5    34.6     0.     2.42  -999.0    -9.0    -9.0 229222299
     180       3      83  1627.4   2.72   34.552    -9.0    85.5    34.6     0.     2.42  -164.2     3.3    -0.6 229222222
     180       3      41  1925.8   2.41   34.611    -9.0   106.2    35.1     0.     2.46  -999.0    -9.0    -9.0 229222299
     180       3      84  1926.3   2.41   34.613    -9.0   106.2    35.2     0.     2.46  -194.1     2.9    -0.8 229222222
     180       3      87  2223.9   2.19   34.638    -9.0   115.3    35.3     0.     2.46  -200.4     3.2    -0.7 229222222
     180       3      45  2522.    2.03   34.651    -9.0   123.3    35.6     0.     2.5   -999.0    -9.0    -9.0 229222299
     180       3      89  2522.5   2.03   34.651    -9.0   123.2    35.6     0.     2.44  -212.      2.9    -1.  229222222
     180       3      49  2821.7   1.89   34.663    -9.0   128.8    35.6     0.     2.5   -999.0    -9.0    -9.0 229222299
     180       3      93  2822.2   1.89   34.665    -9.0   128.7    35.5     0.     2.47  -215.8     3.3    -0.4 229222222
     180       3      47  3122.7   1.79   34.674    -9.0   128.     35.1     0.     2.46  -999.0    -9.0    -9.0 229222299
     180       3      94  3123.2   1.79   34.675    -9.0   128.4    35.      0.     2.44  -213.      3.     -0.8 229222222
     180       3      48  3426.2   1.69   34.691    -9.0   122.4    33.8     0.     2.37  -999.0    -9.0    -9.0 229222299
     180       3      85  3426.7   1.69   34.691    -9.0   122.4    33.8     0.     2.35  -192.9     3.     -0.9 229222222
     180       1      42  3840.4   1.5    34.712    -9.0   115.     32.2     0.     2.23  -999.0    -9.0    -9.0 229222299
     180       1      81  3840.9   1.5    34.712    -9.0   115.     32.3     0.     2.24  -176.1     3.     -0.1 229222222
     180       1      43  4128.    1.33   34.714    -9.0   117.4    32.2     0.     2.22  -999.0    -9.0    -9.0 229222299
     180       1      83  4128.5   1.33   34.713    -9.0   117.4    32.2     0.     2.21  -170.9     3.1     0.  229222222
     180       1      41  4419.   -9.000  34.711    -9.0    -9.0    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229599999
     180       1      84  4419.5  -9.000  34.711    -9.0    -9.0    -9.0    -9.0   -9.00  -166.8     3.3    -0.3 229599922
     180       1      87  4714.    1.15   34.71     -9.0   121.1    32.1     0.     2.17  -168.4     2.3    -0.2 229222222
     180       1      45  5015.5  -9.000  34.708    -9.0    -9.0    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229599999
     180       1      89  5016.   -9.000  34.708    -9.0    -9.0    -9.0    -9.0   -9.00  -163.9     3.0    -0.5 229599922
     180       1      49  5323.3   1.13   34.707    -9.0   123.5    32.2     0.     2.22  -999.0    -9.0    -9.0 229222299
     180       1      93  5323.8   1.13   34.707    -9.0   123.5    32.2     0.     2.18  -159.7     3.4    -0.3 229222222
     180       1      47  5638.9   1.15   34.707    -9.0   123.6    32.2     0.     2.22  -999.0    -9.0    -9.0 229222299
     180       1      94  5639.4   1.15   34.707    -9.0   123.4    32.2     0.     2.22  -163.9     3.1    -0.7 229222222
     187       4      90     3.5  -9.000  35.091    -9.0    -9.0    -9.0    -9.0   -9.00   124.1     3.8     1.1 229599922
     187       3      48  1590.   -9.000  34.544    -9.0    -9.0    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229599999
