EXPOCODE 316N145_5 WHP-ID I08S, I09S  DATES 120194-011995              20090518CCHDOSIODM                                                                                                                                                                                                      *
  STNNBR  CASTNO  SAMPNO  BTLNBR  CTDRAW  CTDPRS  CTDTMP  CTDSAL  CTDOXY   THETA  SALNTY  OXYGEN  SILCAT  NITRAT  NITRIT  PHSPHT  CFC-11  CFC-12  TRITUM  HELIUM  DELC14  TCARBN  ALKALI  C14ERR  DELC13  DELHE3  DELHER  HELIER    NEON  NEONER  TRITER              QUALT1              QUALT2
                                            DBAR IPTS-68  PSS-78 UMOL/KG IPTS-68  PSS-78 UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG PMOL/KG PMOL/KG      TU NMOL/KG  /MILLE UMOL/KG UMOL/KG  /MILLE  /MILLE  PERCNT  PERCNT NMOL/KG NMOL/KG NMOL/KG      TU                                       *
                         *******                         ******* *******         ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* *******         ******* *******                 *******                                                       *
       5       1      13  SIH024  6070.4   605.4  9.5778 34.7274   240.6  9.5082 34.7254   237.4    5.35   15.00    0.00    1.15   2.835   1.389  -9.000 -9.0000  -999.0  2115.0  2285.3    -9.0    -9.0 -999.00 -999.00 -9.0000  -9.000  -9.000  -9.000 2222222222255922999 2222222222255922999
       5       1      12  SIH003  7064.1   705.3  8.8891 34.6352   231.6  8.8112 34.6335   226.5    7.59   17.98    0.00    1.33   2.354   1.159  -9.000 -9.0000  -999.0  2124.4  2288.1    -9.0    -9.0 -999.00 -999.00 -9.0000  -9.000  -9.000  -9.000 2222222222255922999 2222222222255922999
       5       1      11  SIH026  8061.7   805.6  7.7187 34.5303   211.3  7.6363 34.5459   210.3   12.52   21.16    0.00    1.56   1.559   0.772  -9.000 -9.0000  -999.0  2143.3  2276.5    -9.0    -9.0 -999.00 -999.00 -9.0000  -9.000  -9.000  -9.000 2222222222255922999 2222222222255922999
       5       1      10  SIH027  9057.8   905.8  6.2926 34.4381   199.7  6.2090 34.4394   198.7   22.02   25.84    0.00    1.88   0.905   0.470  -9.000 -9.0000  -999.0  2167.9  2275.6    -9.0    -9.0 -999.00 -999.00 -9.0000  -9.000  -9.000  -9.000 2222222222255922999 2222222222255922999
       5       1       9  SIH028 10054.1  1006.0  4.9006 34.4120   189.5  4.8177 34.4118   184.8   38.60   29.61    0.00    2.15   0.398   0.189  -9.000 -9.0000  -999.0  2199.7  2299.4    -9.0    -9.0 -999.00 -999.00 -9.0000  -9.000  -9.000  -9.000 2222222222255922999 2222222222255922999
       5       1       8  SIH029 11064.8  1107.7  4.3142 34.4419   170.6  4.2269 34.4418   169.7   52.13   31.63    0.00    2.31  -9.000  -9.000  -9.000 -9.0000  -999.0  2222.9  2330.5    -9.0    -9.0 -999.00 -999.00 -9.0000  -9.000  -9.000  -9.000 2222222229955962999 2222222229955962999
       5       1       6  SIH031 12067.3  1208.5  3.8881 34.4696   166.1  3.7959 34.4699   162.8   61.32   32.63    0.00    2.39   0.117   0.058  -9.000 -9.0000  -999.0    -9.0    -9.0    -9.0    -9.0 -999.00 -999.00 -9.0000  -9.000  -9.000  -9.000 2222222222255999999 2222222222255999999
       5       1       7  SIH030 12069.3  1208.7  3.8878 34.4694   166.1  3.7956 34.4697   163.1   61.11   32.53    0.00    2.39   0.116   0.059  -9.000 -9.0000  -999.0    -9.0    -9.0    -9.0    -9.0 -999.00 -999.00 -9.0000  -9.000  -9.000  -9.000 2222222222255999999 2222222222255999999
       5       1       5  SIH032 13049.5  1307.3  3.6414 34.5081   156.9  3.5431 34.5076   155.7   68.78   33.24    0.00    2.42   0.083   0.034  -9.000 -9.0000  -999.0    -9.0    -9.0    -9.0    -9.0 -999.00 -999.00 -9.0000  -9.000  -9.000  -9.000 2222222222255999999 2222222222255999999
       5       1       4  SIH033 14581.2  1461.5  3.4050 34.5528   150.3  3.2959 34.5506   150.1   76.58   33.56    0.00    2.46   0.026   0.016  -9.000 -9.0000  -999.0    -9.0    -9.0    -9.0    -9.0 -999.00 -999.00 -9.0000  -9.000  -9.000  -9.000 2222222222255999999 2222222222255999999
       5       1       3  SIH037 14580.4  1461.5  3.4048 34.5529   150.3  3.2957 34.5506   150.0   76.45   33.50    0.00    2.46  -9.000  -9.000  -9.000 -9.0000  -999.0    -9.0    -9.0    -9.0    -9.0 -999.00 -999.00 -9.0000  -9.000  -9.000  -9.000 2222222229955999999 2222222229955999999
       5       1       1  SIH036 14745.2  1478.1  3.3817 34.5578   151.5  3.2715 34.5557   150.4   76.83   33.99    0.00    2.45   0.028   0.017  -9.000 -9.0000  -999.0    -9.0    -9.0    -9.0    -9.0 -999.00 -999.00 -9.0000  -9.000  -9.000  -9.000 2222222222255999999 2222222222255999999
       5       1       2  SIH035 14748.1  1478.4  3.3817 34.5574   151.5  3.2715 34.5559   150.3   77.17   33.60    0.00    2.46  -9.000  -9.000  -9.000 -9.0000  -999.0    -9.0    -9.0    -9.0    -9.0 -999.00 -999.00 -9.0000  -9.000  -9.000  -9.000 2222222229955999999 2222222229955999999
